DOCKET NUMBER,NOV NUMBER,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,WARD,ISSUING DEPARTMENT,HEARING DATE,CASE DISPOSITION,IMPOSED FINE,ADMIN COSTS,VIOLATION CODE
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,197079
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,196029
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,131016
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,68014
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,76034
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,140016
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,67014
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,157047
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,140016
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,197087
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,101015
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,153027
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,136016
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,160017
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$40 ,136016
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$40 ,197087
